zones,leagues,percentages
0-8 ft,Pro A,41.72
8-16 ft,Pro A,12.91
16-24 ft,Pro A,6.08
3P,Pro A,39.29
0-8 ft,Eurocup,43.42
8-16 ft,Eurocup,13.35
16-24 ft,Eurocup,3.73
3P,Eurocup,39.5
0-8 ft,Euroleague,40.84
8-16 ft,Euroleague,14.17
16-24 ft,Euroleague,4.21
3P,Euroleague,40.78
0-8 ft,G-League,47.79
8-16 ft,G-League,9.52
16-24 ft,G-League,4.33
3P,G-League,38.36
0-8 ft,NBA,43.78
8-16 ft,NBA,13.05
16-24 ft,NBA,6.15
3P,NBA,37.02
